id,title,image,DE,AR,EN,FR,comment
ID 2060,wȝs,https://app.vega-lexique.fr/api/files/28b49955-c2d5-4849-8d16-29436886329c.svg,Elender,بائس,miserable one,misérable,"Substantif.
Attesté sur oCaire CG 25207, vo, l. 4 (cf. Daressy, Ostraca n° 25001-25385, CGC, 1901, p. 41, pl. XXXVI ; Erman, « Gebete eines ungerecht Verfolgten und andere Ostraka aus den Königsgräbern », ZÄS 38, 1900, p. 24 et 27).
Selon Erman (op. cit., p. 27), les signes du pain (X1) et du plan de ville (O49) pourraient avoir été écrits à la place de la chouette (G17) et du moineau (G37), comme dans l'Enseignement d'Ani (= pBoulaq IV, 18, 10), cf. Quack, Die Lehren des Ani, OBO 141, 1994, p. 294. Ce dernier translittère wsm (ibid., p. 98 et 99, n. 52).
Pour d'autres occurrences éventuelles, voir Posener, « La piété personnelle avant l'âge amarnien », RdE 27, 1975, p. 206 et n. 33.
Peut-être un participe formé sur wȝsj « tomber en ruines ; dépérir ».
Cf. également wȝs.t « ruines »."
ID 2061,wȝš,https://app.vega-lexique.fr/api/files/5df530c4-30c6-4733-b913-2e3337c6ec72.svg,Feind,عدو,enemy,ennemi,"Substantif.
Attesté uniquement dans le temple d'Edfou (Edfou IV, 78, 17 et VI, 235, 6-7)."
ID 2062,psḏ.t,https://app.vega-lexique.fr/api/files/017c6190-8137-45f7-a99c-3870fe60c459.svg,Pelikan,بجعة,pelican,pélican,"Attesté en Pyr. 278b [254] (1re et 2e graphies) et en CT VI 53f [484], 231f [619] et 236j [622] (3e-5e graphies).
Participe substantivé formé sur psḏ « briller, luire ; apparaître » ; cf. LGG III, 163c, et Vernus, Yoyotte, Bestiaire des pharaons, Paris, 2005, p. 403-405.
Van der Molen (HDECT, p. 141) et Borghouts et van der Plas (CTWI, p. 103) consignent les occurrences des Textes des Sarcophages sous cette dernière entrée.
Cf. ḥm-psḏ.t « (une désignation du pélican) ».
Voir également ḥn.t « pélican »."
ID 2063,ʿwn.t,https://app.vega-lexique.fr/api/files/0a8d7374-b19b-4b5d-941b-f19e0c8a7261.svg,"Begierige, Habgierige",جَشِع ، طَمَّاع,"rapacious, greedy","avide, cupide","Substantif.
Peut-être féminin de ʿwnw « fourbe, pillard ».
Hannig enregistre les attestations de ce mot sous ʿwn.t « avidité, cupidité ».
Voir également ʿwn « être avide ; tromper ; voler »."
ID 2064,wȝš,https://app.vega-lexique.fr/api/files/05c9db36-fa2a-4332-8e5c-4b3189934407.svg,mächtig sein; angesehen sein; ehren,,to be powerful; to be esteemed; to worship,devenir puissant ; devenir honoré ; honorer,"Cf. wȝš « puissance ; prestige, réputation », wȝš.t « (une désignation des êtres humains ?) » et swȝš « respecter, honorer, prier, acclamer, rendre hommage, glorifier ».
Voir également ww « chanter (?) »."
ID 2065,ʿwn.t,https://app.vega-lexique.fr/api/files/c9f93fbe-7677-431f-8600-cbb33330ac3d.svg,"Gier, Habgier",طَمَع ، جَشَع,"avidity, greed","avidité, cupidité","Attesté uniquement dans l'Enseignement de Ptahhotep. Graphie d'après pPrisse (= pBNF 186) 10, 8 (Jéquier, Le papyrus Prisse et ses variantes, Paris, 1911, pl. VI ; Žába, Les Sagesses de Ptahhotep, Prague, 1956, p. 41).
Hannig enregistre les attestations de ʿwn.t « avide, cupide » dans cette entrée.
Pour l’avidité dans les textes sapientiaux, voir Bleiberg, « Economic Man and the Truly Silent One: Cultural Conditioning and the Economy in Ancient Egypt », JSSEA 24, 1994, p. 6-7.
Voir également ʿwnty « avide », ʿwn « être avide ; tromper ; voler » et ʿwn(.t)-jb « avidité, cupidité »."
ID 2066,ʿwnty,https://app.vega-lexique.fr/api/files/f0df917d-8aef-4f59-839c-39c9ddecf00e.svg,Habgieriger,جَشِع ، طَمَّاع,greedy one,avide,"Substantif.
Probablement nisbé formé sur ʿwn.t « avidité, cupidité ».
Attesté uniquement dans l'Enseignement d'Aménémopé (= pBM EA 10474) 10, 10 (Budge, Facsimiles of Egyptian Hieratic Papyri in the British Museum, HPBM 2, 1910, pl. X, 10). 
Voir également ʿwn « être avide ; tromper ; voler », ʿwnw « fourbe ; pillard » et ʿwn-jb « (être) avide, cupide »."
ID 2067,wš / wȝš,https://app.vega-lexique.fr/api/files/cf607d3e-9b97-4564-bd1a-e4e84a9a1e6f.svg,sich durchdrängen (?),,to push one's way through (?),se frayer (un passage) (?),"Attesté uniquement dans Les Mésaventures d’Ounamon (= pMoscou 120), 2, 75 ; cf. Schipper, Die Erzählung des Wenamun, OBO 209, 2005, p. 97 et n. 339).
Pour Winand (Le voyage d’Ounamon, AegLeod 1, 1987, p. 9), même mot que wš « se vider, manquer ; détruire ; tomber (cheveux) ».
Cf. la forme rédupliquée wšwš « battre ; briser ; pénétrer de force dans »."
ID 2068,wn-ḥr-bȝw,https://app.vega-lexique.fr/api/files/5ae4dd0c-799d-4e83-b166-9e70309e6307.svg,(Name einer Barke),(اسم ما لزورق أو لمركب),(name of a bark),(nom d'une barque),"Attesté uniquement dans le titre ḫtmw-nṯr wn-ḥr-bȝw « scelleur / trésorier du dieu de la barque-ounherbaou » relevé dans la tombe de Séneb à Giza ; cf. Junker, Giza V, Vienne, 1941, p. 15-16 et p. 41, fig. 6.
Pour la datation de la tombe, cf. Cherpion, « De quand date la tombe du nain Seneb ? », BIFAO 84, 1984, p. 35-54."
ID 2069,bnf,https://app.vega-lexique.fr/api/files/ce75cedb-afe5-48c0-98da-f3c546746cc0.svg,(ein Pavian),(رباح ما ، بابون ما),(a baboon),(un babouin),"Nom de l'un des babouins de la première heure de l'Amdouat. D'après la synopse de Hornung (Text zum Amduat I, AegHelv 13, 1987, p. 141, n° 86), le n vaut pour s, lire bsf."
ID 2070,wȝš,https://app.vega-lexique.fr/api/files/87dc5820-c312-4ec5-acd1-aa9bf7fe68ca.svg,"Macht; Ansehen, Ruf",سُلطَة ؛ هيبة ، سُمعة ، شُهرة,"power; prestige, fame","puissance ; prestige, réputation","Voir également wȝš « devenir puissant ; devenir honoré ; honorer »."
ID 2071,wȝš,https://app.vega-lexique.fr/api/files/2ed57d6c-a4a2-4662-9bb3-26c42ce2f7d2.svg,"Schlitten, Tragbahre",حَمَّالَة ، مِحَفَّة ، مِزْلَجَة ، زَلَّاجَة,"sled, stretcher","traîneau, brancard","Attesté uniquement en Dend. VII, 202, 2.
Pastille rouge pour le TLA qui renvoie à wnš « traîneau (à tête de chacal) »."
ID 2072,ʿwn-jb,https://app.vega-lexique.fr/api/files/5b392f83-2616-4383-89ea-8c3b8b515cd6.svg,habgierig sein,(أصبح) جَشِعاً ، طَمَّاعاً,to be rapacious,"(être) avide, cupide","Comparer avec ʿwn(.t)-jb « avidité, cupidité ». 
Voir également ʿwn « être avide ; tromper ; voler » et ʿwnty « avide ».
ʿwn-jb est également un toponyme, voir Dend II, 131, 3. "
ID 2073,wȝš.t,https://app.vega-lexique.fr/api/files/e4051d30-9ba3-4299-9ea5-3fab728038f7.svg,(eine Bezeichnung für Menschen?),(إشارة إلى البشر ؟),(a name for human beings?),(une désignation des êtres humains ?),"Attesté uniquement dans Pyr. 1296a [536] [P/C ant/E 64] (Berger el-Naggar, Leclant, Mathieu, Pierre-Croisiau, Les textes de la pyramide de Pépy Ier, MIFAO 118/1, 2001, p. 172 et 118/2, pl. XIX).
Allen (The Ancient Egyptian Pyramid Texts, WAW 23, 2005, p. 168) propose la traduction « ceux qui sont estimés » ; voir en ce sens wȝš « devenir puissant ; devenir honoré ; honorer »."
ID 2074,wȝšb.t,https://app.vega-lexique.fr/api/files/22ea4e0c-f801-4ba1-9927-52ca9b6a0fad.svg,(ein Mineral),(معدن ما),(a mineral),(un minéral),"Attesté uniquement dans pEbers, 80, 3 [Eb 636] (Grundriss 5, p. 353).
Le Grundriss 6 (p. 124) et le TLA (pastille rouge) renvoient à wšb.t « alun (contenant du cobalt) »."
ID 2075,wȝšš,https://app.vega-lexique.fr/api/files/9cba01a9-194f-49f7-ac8f-583abf226560.svg,Hämatom (?),تورم دموي (؟),hematoma (?),hématome (?),"Attesté uniquement dans pEbers, 88, 16 [Eb 734] ; cf. Grundriss 5, p. 413.
Pour la traduction, voir Bardinet, Les papyrus médicaux de l'Égypte pharaonique, Paris, 1995, p. 353 ; Grundriss 7, p. 163 ; et Westendorf, Handbuch Medizin, p. 671."
ID 2076,ʿwn(.t)-jb,https://app.vega-lexique.fr/api/files/2132adba-98ca-46b4-bdeb-586dbfdc10bd.svg,"Gier, Habgier",طَمَع ، جَشَع,"avidity, greed","avidité, cupidité","Comparer avec ʿwn-jb « (être) avide, cupide ». 
Voir également ʿwn « être avide ; tromper ; voler » et ʿwn.t « avidité, cupidité ». "
ID 2077,wȝqm,https://app.vega-lexique.fr/api/files/3d1fc302-544b-41c1-9bd3-83d713bcf2fd.svg,"worfeln (?), mahlen (?)",ذرىَ تذرية (؟) ، طَحَنَ,"to winnow (?), to grind (?)","vanner (?), moudre (?)","Attesté uniquement dans le temple de Médinet Habou ; cf. KRI V, 64, 1 et 69, 6.
Selon Edgerton et Wilson (Historical Records, p. 82, n. 37b), il pourrait s'agir d'une graphie du verbe wgm « moudre, battre (le grain) »."
ID 2078,psdy / psḏy,https://app.vega-lexique.fr/api/files/c688c6a2-ca9e-432d-8c76-d9b65afc7acf.svg,"Helfer, Assistent",عَوْن ، مُسَاعِد,"helper, assistant","aide, assistant","Attesté plusieurs fois dans le pAnastasi I (= pBM EA 10247), cf. Fischer-Elfert, Die satirische Streitschrift des Papyrus Anastasi I, ÄgAbh 44, 1986, p. 62.
Peut-être même mot que psty « serviteur ».
Voir également psḏ / psḏ.t / psd « dos, colonne vertébrale »."
ID 2079,psḏ / psd,https://app.vega-lexique.fr/api/files/4a6c29ac-481c-4ea1-94ff-ce76292abcd9.svg,(eine Frucht?; eine Schote?),(ثَمَرة ما ؟ ؛ قرن نبات ما ؟ ),(a fruit?; a pod?),(un fruit ? ; une gousse ?),"Attesté dans plusieurs textes médicaux en tant qu'ingrédient entrant dans la composition de divers remèdes ; cf. Westendorf, Handbuch Medizin, p. 500.
Notamment dans les expressions :
gs.wy n(y) psḏ « deux moitiés du fruit-pésedj » ;
tmtw psḏ « poudre de fruit-pésedj » ;
dqw psḏ « poudre du fruit-pésedj ».
Voir également qmy.t « (une résine, une gomme) »."
ID 2080,brk.t,https://app.vega-lexique.fr/api/files/ca02888c-526f-4ada-8343-8afa5d22ddb0.svg,"Teich, Becken, See", بِرْكَة ، بَحْرَة ، بُحيَرة,"pool, pond, lake","étang, bassin, lac","Mot d'emprunt sémitique."
ID 2081,ʿwn,https://app.vega-lexique.fr/api/files/fc1934a8-c005-4b2f-8815-27a2e91a55a6.svg,"jammern, klagen; weinen; schreien",تَذَمَّرَ ، تَأَلَّمَ ، تَأَوَّهَ ؛ اِنْتَحَبَ ، ناحَ ؛ صَرَخَ,"to lament, to mourn; to cry out; to shout","se plaindre, gémir ; pleurer ; crier","Cf. jʿnw « cri plaintif, plainte ; imploration ; supplique »."
ID 2082,ʿwn,https://app.vega-lexique.fr/api/files/c969d7c6-859c-4b11-b1c5-5d048c81cc33.svg,Schlaf; schlafen,سِنَةٌ  ، نُعَاس ، اِسْتِلْقاء ، نَوْم ؛ اِضْطَجَعَ ، نامَ ، اِسْتَلْقَى,sleep; to sleep,sommeil ; dormir,"Attesté uniquement sur la stèle Louvre C 57, l. 9 (Barbotin, Voix des hiéroglyphes, p. 81 et KRI I, 3, 1).
Les dictionnaires renvoient à ʿʿw « dormir ».
Voir également ʿʿw « sommeil »."
ID 2083,ʿwnwn,https://app.vega-lexique.fr/api/files/6cdfe477-8882-4858-928e-45225bcde79e.svg,betrügen,خَدَعَ ، غَشَّ,to cheat,escroquer,"Attesté uniquement sur la stèle Caire CG 20254 (Lange, Schafer, Grab und Denksteine des Mittleren Reichs im Museum von Kairo, CGC, 1902, p. 273).
Voir également ʿwn « être avide ; tromper ; voler »."
ID 2084,jʿj,https://app.vega-lexique.fr/api/files/3209df0b-b2d9-4ca8-8b6b-d72254e4501d.svg,"waschen, reinigen",غَسَلَ ، طَهَّرَ,"to wash, to purify","laver, purifier","Notamment dans les expressions :
jʿj r(ȝ) « déjeuner » (littéralement « laver la bouche ») ;
jʿj ḥr « se montrer vigilant ; débarbouiller » (littéralement « laver le visage ») ;
jʿj šmȝy.w « purifier les êtres malsains ».
Aussi dans les composés :
jʿj-jb « être heureux, se réjouir » ;
jʿj-ḥȝty « être heureux, se réjouir ».
Cf. jʿ « récipient de lavage, ustensile de lavage », jʿj / jʿw « laveur », jʿw « lavage, toilette, purification », jʿw et jʿw-r(ȝ) « petit déjeuner ».
Voir également jʿy.t « (un remède liquide) ; mousse (?) (de la bière) »."
ID 2085,wȝty,https://app.vega-lexique.fr/api/files/f070234d-228c-4de2-9239-aa6a253ace1c.svg,(Bedeutung unbekannt),(معنى غير معروف),(meaning unknown),(sens inconnu),"Attesté uniquement dans CT VI, 257m [635] (Sq3C).
Pour Faulkner (The Ancient Egyptian Coffin Texts II, Warminster, 1977, p. 216, n. 3), la séquence dans laquelle se trouve ce mot est inintelligible ; il la translittère jk wȝtys.
Carrier (Les textes des sarcophages du Moyen Empire égyptien II, Monaco, 2004, p. 1458-1459) lit cette séquence (s)k wȝy.t=s « celle qui s'éloignera »."
ID 2086,brg,https://app.vega-lexique.fr/api/files/ce377159-5868-4a97-a2f9-91c9b20754b0.svg,reich sein; wohlhabend sein,صار غنياً ؛ صار قَانِعاً ، راضياً,to be rich; to be content,être riche ; être satisfait,"Mot d'emprunt sémitique.
Cf. bng « avoir en abondance (relatif à la nourriture) »."
ID 2087,bhȝw,https://app.vega-lexique.fr/api/files/c84fe871-605b-4334-8d72-96025f386c27.svg,"Flüchtling, Fliehender",لاجيء ، هارِب,"refugee, fugitive","réfugié, fuyard","Probablement participe formé sur bhȝ « fuir, abandonner, se retourner, faire demi-tour ».
Cf. bht « adversaire, ennemi » et bhn « fuir »."
ID 2088,bhn,https://app.vega-lexique.fr/api/files/2d1bad1e-7c7d-47a3-ac94-965b67b1864e.svg,"(eine Kleidung, ein Stoff)",(مَلبَس ما ؛ قُماش ما),"(a garment, a fabric)","(un vêtement, un tissu)",N/A
ID 2089,ʿwn.t,https://app.vega-lexique.fr/api/files/1a28f3a5-75ee-4537-b38c-37309a2fdfde.svg,(ein Baum; ein Stock),(شجرة ما ؛ عصا ما),(a tree; a staff),(un arbre ; un bâton),"Traduction non assurée. 
Voir ʿwn « graine (de l'arbre-âoun) ». 
Voir également jʿn « (une massue ?) » et ḥʿw « (un bâton) »."
ID 2090,bhd,https://app.vega-lexique.fr/api/files/f6cd77b9-6723-4cea-807a-458fd099e911.svg,"(Duft) einatmen, inhalieren, riechen",تَنَسَّمَ (العَبِير) ، اِسْتَرْوَحَ ، شَمَّ,"to breath (the perfume), to inhale, to smell","respirer (le parfum), inhaler, sentir","Voir bhd « odeur, parfum » et bhd « encenser, fumiger »."
ID 2091,ʿwn,https://app.vega-lexique.fr/api/files/ea9f4bd4-22a9-4694-87ae-bf982426f717.svg,Samenkorn (von aun-Baum),بَذْر (شجرة-عون),seed (of aun-tree),graine (de l'arbre-âoun),"Entrée à supprimer.
Relevé dans une inscription sur céramique (cf. Černy, Hieratic Inscriptions from the Tomb of Tutʿankhamūn, TTSO 2, 1965, p. 5, Nr. 30).
Il s’agit en fait de l’arbre ʿwn.t dans la séquence pr.t m ʿwn(.t) « les graines de l’arbre-âoun »."
ID 2092,bhd,https://app.vega-lexique.fr/api/files/e2cec00c-4c13-4325-a9a7-79969b0b1878.svg,"Geruch, Duft",رائِحَة ، شَذا ، عَبِير ,"smell, perfume","odeur, parfum","Voir bhd « respirer (le parfum), inhaler, sentir » et bhd « encenser, fumiger »."
ID 2093,brg.t,https://app.vega-lexique.fr/api/files/4a2e3bab-6214-4519-a2fb-801074fa2035.svg,(ein Edelstein oder ein Halbedelstein),(حَجَر ما كريم أو نصف كريم),(a precious stone or a semi-precious stone),(une pierre précieuse ou semi-précieuse),"Pour l'identification avec le béryl vert, l'émeraude, cf. Aufrère, Univers Minéral, p. 544.
Pastille rouge pour le TLA (Lemma n° 56640) qui renvoie à brt « turquoise (?) ».
Les Wd mentionnent également un toponyme Brg.t."
ID 2094,brt,https://app.vega-lexique.fr/api/files/9290675e-4071-4c39-97d7-cbda51b4d7a7.svg,Türkis (?),فَيْرُوز (؟),turquoise (?),turquoise (?),"Attesté uniquement sur pChester Beatty IV (= pBM EA 10684).
Cf. brg.t « (une pierre précieuse ou semi-précieuse) »."
ID 2095,wȝtw,https://app.vega-lexique.fr/api/files/b9e33a1c-11bc-44c0-bb98-67ba45853eb1.svg,(ein Teil des Sarges),(جُزء ما من التابوت),(a part of the coffin),(une partie du cercueil),"Mot à supprimer.
Relevé sur oBerlin ÄM 14222 ; cf. Allam, Hieratische Ostraka und Papyri aus der Ramessidenzeit I, Tübingen, 1973, p. 39-40 [17] et II, pl. 20-21 ; KRI VI, 167, 10 = KRITA VI, p. 133.
Mauvais découpage de la séquence wȝ wt « partie-oua du cercueil momiforme ».
Pastille rouge pour le TLA qui renvoie à wȝ « (une partie du cercueil) »."
ID 2096,psd /psḏ,https://app.vega-lexique.fr/api/files/91202137-5819-4584-90ce-febebfe1d8e3.svg,Mond,قَمَر,moon,lune,"Relevé dans les Textes des Sarcophages. 
Cette traduction est avancée par Faulkner (AECT III, p. 14, n. 1), pour qui il s'agit d'une corruption de psḏ « briller, luire ; apparaître ».
Toutefois, cette lecture semble erronée et n'est pas partagée par d'autres auteurs. Il semble en effet qu'il s'agisse d'une séquence de deux termes et non d'un mot unique ; cf. à ce propos le vocable šsp « (sens inconnu) »."
ID 2097,bh.t,https://app.vega-lexique.fr/api/files/58fb65b6-c34f-4b9e-9782-fb4fa4aace14.svg,"Flabellum, Wedel",مروحة يدوية ، منشة,"flabellum, fan","chasse-mouche, éventail","Notamment dans l'expression ḥbs bh.t « protéger » ; voir également bhn « éventail (?) ».
Cf. bhȝ « éventail » et bhȝyw « chasse-mouche, éventail »."
ID 2098,psd / psḏ,https://app.vega-lexique.fr/api/files/b4595853-a4bd-413d-b7ac-71076598b80e.svg,"Licht (der Sonne, des Mondes)",ضوء (الشمس والقمر),"light (of the sun, of the moon)",lumière (du soleil et de la lune),"Cf. psḏ « briller, luire ; apparaître ».
Voir également ḥm-psḏ.t « (une désignation du pélican) »."
ID 2099,bhȝ,https://app.vega-lexique.fr/api/files/138edaa9-e929-4bf9-b8ea-e1ae273a3733.svg,Wedel,مروحة يدوية,fan,éventail,"Pour Lesko, dérive de bh.t « chasse-mouche, éventail »."
ID 2200,ȝtf,https://app.vega-lexique.fr/api/files/dbb02351-1b8e-46dc-bec2-3c163dafbd60.svg,(ein Baum),(شجرة ما),(a tree),(un arbre),"Arbre non identifié mentionné uniquement dans des toponymes et en particulier dans les formes récentes des noms des 13e et 14e provinces de Haute-Égypte : Ȝtf-ḫnt.(y)t et Ȝtf-pḥ.(y)t ; cf. Gardiner, AEO II, p. 77*.
Cf. la forme ancienne nḏf.t « (un arbre) »."
ID 2201,pẖrw / pẖr.t / pẖr,https://app.vega-lexique.fr/api/files/33b12ab8-eec4-4cb0-8936-b6117f54e513.svg,"Zirkulation, Umlauf, Rundfahrt, Reise; Prozession",اِنْتِقال ، دَوْرَة ، جَوْلَة ، سَفَر ؛ موكِب,"circulation, circuit, trip; procession","circulation, circuit, tour, voyage ; procession","Cf. pẖr « tourner, retourner, contourner, entourer, parcourir, explorer, circuler ; conjurer ; prendre soin de ; servir », pẖr / pẖr.t « offrandes ; réversion des offrandes », pẖrty « voyageur » et pẖr.wy « deux barques de voyage »."
ID 2202,pẖr-m-qd,https://app.vega-lexique.fr/api/files/6a282d96-a732-4a5f-b345-cd00119b5f0b.svg,sich freuen; Jubel,ابتَهَجَ ؛ ابتِهاج,to be glad; rejoicing,se réjouir ; réjouissance,"Cette expression est attestée uniquement dans les temples d'Edfou et de Dendara en relation avec la déesse Hathor apaisée.
Voir pẖr « tourner, retourner, contourner, entourer, parcourir, explorer, circuler ; conjurer ; prendre soin de ; servir » et qd « nature, forme, état, genre, type ; réputation, caractère, comportement »."
ID 2203,pẖr / pẖr.t,https://app.vega-lexique.fr/api/files/70998440-1598-4979-b963-0f8c06660fc5.svg,Landbezirk (?),مِنْطَقَة رِيفِيّة (؟),rural area (?),domaine rural (?),"Cf. pẖr « tourner, retourner, contourner, entourer, parcourir, explorer, circuler ; conjurer ; prendre soin de ; servir »."
ID 2204,bḫn,https://app.vega-lexique.fr/api/files/9e5eace9-a31b-4c8c-b6b2-a03b010b9eab.svg,"Matte, Sichtschirm aus Flechtwerk",حَصِيرَة ، حواجز مُحاكَة أو مضفورة,"mat, screen of wickerwork","natte, écran de sparterie","Attesté uniquement dans pHarris (= pBM EA 9999), 16b, 9 et 65b, 14 ; cf. Grandet, Harris I/2, pl. 16 et 65.
Le Wb renvoie à sbḫn « (une natte) »."
ID 2205,ʿb,https://app.vega-lexique.fr/api/files/65121f04-f0e2-4ef5-bdec-6c222bf602c8.svg,"Unreinheit, Sündhaftigkeit; Schmutz; Krankheit",نجاسة ، دنس ؛ إضطرابات ؛ مريض,"impurity, taint; disorders; sickness","impureté, souillure ; troubles ; maladie","Au sujet de la première graphie, voir notamment Blackman, « Some Chapters of the Totenbuch and other Texts on a Middle Kingdom Coffin », ZÄS 49, 1911, p. 59 (8).
Notamment dans les expressions :
dr ʿb « écarter l’impureté » ;
dr ʿb nb ḏw « repousser toute impureté nocive » ;
Voir les variantes ʿbw « impureté » et ʿb.t « impureté (?) ».
Cf. ȝʿb.t « oppression ; nuisance », ʿb « salir, souiller »,  et les antonymes ʿb « devenir pur ; purifier » et ʿbw « purification, pureté ».
Voir également ẖs(y) « décomposition »."
ID 2206,bnd,https://app.vega-lexique.fr/api/files/b83bf938-7c90-4ee9-87da-b527911114c5.svg,(von der Vereinigung des Horus und Seth),(بخصوص اتحاد حورس وست),(about the union of Horus and Seth),(concernant l'union d'Horus et de Seth),"Entrée à supprimer.
Relevé dans le temple de Médinet Habou (The Epigraphic Survey, Medinet Habu II. Later Historical Records of Ramses III, OIP 9, 1932, pl. 94, col. 10 ; KRI V, 82, 16).
Occurrence de bnd « envelopper, habiller » comme indiqué par le TLA et Lesko (DLE2 I, p. 135)."
